date,team1,team2,league_id,prob1,prob2,probTie,odd1,odd2,oddTie,bookmaker1,bookmaker2,bookmakerTie,outcome1,outcome2,outcomeTie,bankroll1,bankroll2,bankrollTie,profit1,profit2,profitTie,Unnamed: 22,Unnamed: 23,-0.296629279661719,28,0.04379250997622477,1.1853687670622843,1.0429943702418978,0.10028868466351026,0.031054049324793866,0.0007066419588052724,Unnamed: 32,treshold =,0.1,Unnamed: 35,Unnamed: 36,bankroll1.1,bankroll2.1,bankrollTie.1,vol1,vol2,volTie
2020-01-16 00:00:00,Tondela,Boavista,1864,0.333,0.333,0.333,1.001,1.001,1.001,,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,date,ROI,N,vol,exp,mult,max,avg1,avg2,,cost func,-10000.296629279661,,,0.0,0.0,0.0,,,
2020-01-16 00:00:00,Tondela,Boavista,1864,0.333,0.333,0.333,1.001,1.001,1.001,,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,1.1259,1.0072,0.08204073960190628,0.02269244121686931,0.0005705714386425474,,,,,,0.0,0.0,0.0,,,
2020-01-16 00:00:00,Tondela,Boavista,1864,0.333,0.333,0.333,1.001,1.001,1.001,,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,0.05281887118064165,0.03553849309163789,0.22242540901203653,0.3684754772751654,0.2384811277733282,,,,,,0.0,0.0,0.0,,,
30-01-2021,Kasimpasa,Kayserispor,1882,0.4329432260474801,0.2553893294872852,0.3116674444652348,1.82,3.7,3.55,,,,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
30-01-2021,Brisbane Roar,Adelaide United,1948,0.530573709792864,0.1992621855233363,0.2701641046837998,1.98,3.65,3.35,,,,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
30-01-2021,Regensburg,Darmstadt,1846,0.3690591888772775,0.3202939260378797,0.3106468850848429,2.6,2.6,3.2,luckia,luckia,luckia,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
30-01-2021,Hamburger SV,Paderborn,1846,0.4428375860534953,0.2556802682711732,0.3014821456753315,1.83,3.95,3.45,luckia,luckia,luckia,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
30-01-2021,Holstein Kiel,Braunschweig,1846,0.4451830534872645,0.2522746424082662,0.3025423041044693,1.72,4.65,3.6,betano,luckia,luckia,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
30-01-2021,Everton,Newcastle,2411,0.5751406456364172,0.1791293527501504,0.2457300016134324,1.57,5.5,3.85,betano,betano,betano,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
30-01-2021,Norwich,Middlesbrough,2412,0.4991788588885231,0.23046574396282,0.2703553971486567,1.7,4.35,3.5,betano,betano,betano,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
30-01-2021,Alanyaspor,Sivasspor,1882,0.4351205455569808,0.254486447951898,0.3103930064911213,1.86,4.05,3.4,luckia,luckia,betano,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
30-01-2021,Basaksehir,Hatayspor,1882,0.4334905372174035,0.2587482678670835,0.307761194915513,1.95,3.75,3.35,luckia,luckia,betano,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
30-01-2021,Eibar,Sevilla,1869,0.2207201953202951,0.5286803023337041,0.2505995023460008,4.3,2.02,3.3,betano,betano,luckia,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
30-01-2021,Empoli,Frosinone,1856,0.4505100116971271,0.2475269496523861,0.3019630386504868,1.75,4.3,3.4,betano,betano,betano,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
30-01-2021,Entella,Cosenza,1856,0.3559515997140828,0.3353959617155331,0.3086524385703841,2.4,2.7,3.2,betano,betano,betano,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
30-01-2021,Sunderland,Gillingham,2413,0.5576081558605637,0.1852430901315692,0.2571487540078672,1.64,5.25,3.45,luckia,luckia,luckia,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
30-01-2021,Carlisle,Exeter,2414,0.4281101131324602,0.2701806861571971,0.3017092007103426,1.001,1.001,1.001,,,,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
30-01-2021,Ascoli,Brescia,1856,0.3368009401848123,0.3576088710906732,0.3055901887245145,2.82,2.45,2.95,betano,betano,betano,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
30-01-2021,Pordenone,Lecce,1856,0.3356892485341906,0.3586748489325217,0.3056359025332877,2.6,2.42,3.35,betano,betano,betano,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
30-01-2021,Bologna,AC Milan,1854,0.2081191827647768,0.5728395422328534,0.2190412750023698,3.9,1.9,3.85,luckia,betano,betano,0.0,1.0,0.0,0.0,0.035356588375078934,0,0.0,0.06717751791264998,0.0,,,,,,,,,,,,,,,,0.0,0.035356588375078934,0.0,,0.03182092953757104,
30-01-2021,Toulouse,Clermont,1844,0.2789746321879387,0.4443893443474825,0.2766360234645789,2.9,2.3,3.25,luckia,luckia,luckia,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
30-01-2021,Troyes,Auxerre,1844,0.3808801321971961,0.3121004563782584,0.3070194114245455,1.95,3.6,3.4,luckia,luckia,luckia,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
30-01-2021,Dortmund,Augsburg,1845,0.72084902385636,0.09945912086180396,0.179691855281836,1.24,13.0,6.75,betano,betano,luckia,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
30-01-2021,Eintracht Frankfurt,Hertha Berlin,1845,0.4457926070270937,0.2595871748269926,0.2946202181459137,1.78,4.75,3.8,betano,betano,luckia,1.0,0.0,0.0,0.0,0.0025133700655124713,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0025133700655124713,0.0,,-0.0025133700655124713,
30-01-2021,Union Berlin,B. Monchengladbach,1845,0.2504179245185314,0.4934167363678407,0.256165339113628,3.3,2.2,3.5,luckia,luckia,betano,0.0,0.0,1.0,0.0,0.00084252154751846,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.00084252154751846,0.0,,-0.00084252154751846,
30-01-2021,Bayern Munich,Hoffenheim,1845,0.7336555727657025,0.0961574537188414,0.1701869735154561,1.25,10.25,7.0,betano,betano,luckia,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
30-01-2021,Werder Bremen,Schalke,1845,0.3971332744385238,0.2937554259404634,0.3091112996210129,2.05,3.7,3.5,luckia,betano,betano,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
30-01-2021,Sheffield Wed,Preston,2412,0.3365498948347074,0.3575838326770722,0.3058662724882205,2.9,2.5,3.1,luckia,luckia,betano,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
30-01-2021,Forest Green,Cheltenham,2414,0.3601212991129484,0.3326867529577134,0.3071919479293381,1.001,1.001,1.001,,,,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
30-01-2021,Manchester City,Sheffield Utd,2411,0.820941104911822,0.05583161398133941,0.1232272811068385,1.15,22.0,7.75,luckia,betano,luckia,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
30-01-2021,Northampton,Wigan,2413,0.4127393143339396,0.2900506301530436,0.297210055513017,2.07,2.9,2.85,betano,betano,betano,,,,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
30-01-2021,AFC Wimbledon,MK Dons,2413,0.277625525581381,0.4438829232085751,0.2784915512100439,3.45,2.05,3.25,luckia,luckia,luckia,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
30-01-2021,Hull,Swindon,2413,0.7011987440497286,0.1075339429419695,0.191267313008302,1.35,7.25,4.75,luckia,luckia,luckia,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
30-01-2021,Cambridge Utd,Crawley,2414,0.3916062485026353,0.2981664871461016,0.3102272643512631,1.001,1.001,1.001,,,,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
